Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Link do ogłoszenia
Bezpośrednio 45m2 - 2,Bałuty,2,246 500,44.82,5 500,https://www.otodom.pl/oferta/bezposrednio-45m2-2-pokoje-ID48J4Z.html#ed7b2d23ec
Franciszkańska 139 - zielono cicho wygodnie,Bałuty,3,312 000,54.20,5 756,https://www.otodom.pl/oferta/franciszkanska-139-zielono-cicho-wygodnie-ID46DbN.html#ed7b2d23ec
Nowa kawalerka inwestycyjna na Ogrodowej 4- HIT!,Śródmieście,1,294 140,38.20,7 700,https://www.otodom.pl/pl/oferta/nowa-kawalerka-inwestycyjna-na-ogrodowej-4-hit-ID45YpV.html#ed7b2d23ec
Mieszkanie Retkinia-4242m2 - 2 pok piętro 10/11,Polesie Retkinia,2,286 000,42.42,6 742,https://www.otodom.pl/oferta/mieszkanie-retkinia-42-42m2-2-pok-pietro-10-11-ID494Uk.html#ed7b2d23ec
Nowe 2 Idealne Dla Pary lub inwestycyjnie,Śródmieście,2,256 624,41.24,6 223,https://www.otodom.pl/oferta/nowe-2-pokoje-idealne-dla-pary-lub-inwestycyjnie-ID494T3.html#ed7b2d23ec
Ogródek 38 m2! 2 w doskonałej lokalizacji,Śródmieście,2,262 624,41.04,6 399,https://www.otodom.pl/oferta/ogrodek-38-m2-2-pokoje-w-doskonalej-lokalizacji-ID494T2.html#ed7b2d23ec
Ustawne 3 dla Rodziny - Blisko Parków !,Śródmieście,3,302 702,50.04,6 049,https://www.otodom.pl/pl/oferta/ustawne-3-pokoje-dla-rodziny-blisko-parkow-ID494T1.html#ed7b2d23ec
Mieszkanie 4104 Łódź,Śródmieście,2,256 624,41.04,6 253,https://www.otodom.pl/oferta/mieszkanie-41-04-m-lodz-ID494SZ.html#ed7b2d23ec
3 dla Inwestotora - obok Politechniki!,Śródmieście,3,292 721,45.04,6 499,https://www.otodom.pl/pl/oferta/3-pokoje-dla-inwestotora-obok-politechniki-ID494T0.html#ed7b2d23ec
3 z Pięknym Ogródkiem! 200m Tramwaj,Śródmieście,3,295 645,48.53,6 092,https://www.otodom.pl/pl/oferta/3-pokoje-z-pieknym-ogrodkiem-200m-tramwaj-ID494SY.html#ed7b2d23ec
3 + widna kuchnia -&gt; obok Tramwaj,Śródmieście,3,301 228,49.03,6 144,https://www.otodom.pl/pl/oferta/3-pokoje-widna-kuchnia-obok-tramwaj-ID494SS.html#ed7b2d23ec
3 + Duży Balkon! Hit - blisko Sukcesji,Śródmieście,3,298 415,48.03,6 213,https://www.otodom.pl/pl/oferta/3-pokoje-duzy-balkon-hit-blisko-sukcesji-ID494SU.html#ed7b2d23ec
Bezpośrednio 45m2 - 2,Bałuty,2,246 500,44.82,5 500,https://www.otodom.pl/oferta/bezposrednio-45m2-2-pokoje-ID48J4Z.html#ed7b2d23ec
Apartament 2019 r w stylu glamour!,Bałuty,3,415 000,51,8 137,https://www.otodom.pl/oferta/apartament-2019-r-w-stylu-glamour-ID494Sh.html#ed7b2d23ec
Rozkładowe M3 37 m2 do remontu na Bałutach,Bałuty,2,195 000,37,5 270,https://www.otodom.pl/oferta/rozkladowe-m3-37-m2-do-remontu-na-balutach-ID494Qw.html#ed7b2d23ec
M3 rozkładowe na Bałutach,Bałuty,2,254 490,51,4 990,https://www.otodom.pl/pl/oferta/m3-rozkladowe-na-balutach-ID494Qu.html#ed7b2d23ec
Mieszkanie 4513 Łódź,Bałuty,2,229 000,45.13,5 074,https://www.otodom.pl/oferta/mieszkanie-45-13-m-lodz-ID494Qs.html#ed7b2d23ec
2-pokojowe Piotrkowska- Prywatna kamienica,Śródmieście,2,5 500,54,102,https://www.otodom.pl/pl/oferta/2-pokojowe-piotrkowska-prywatna-kamienica-ID494Q4.html#ed7b2d23ec
Dwa 42 m2 ul. Władysława Króla,Polesie Retkinia,2,263 000,42.50,6 188,https://www.otodom.pl/pl/oferta/dwa-pokoje-42-m2-ul-wladyslawa-krola-ID494PC.html#ed7b2d23ec
1-pokojowe ul. Piotrkowska z CO- Prywatna kamienic,Śródmieście,1,5 500,54,102,https://www.otodom.pl/pl/oferta/1-pokojowe-ul-piotrkowska-z-co-prywatna-kamienic-ID494Pf.html#ed7b2d23ec
Dwa 40m2! Promocja!,Śródmieście,2,265 090,40.29,6 580,https://www.otodom.pl/pl/oferta/dwa-pokoje-40m2-promocja-ID46bP7.html#ed7b2d23ec
Trzy 45m2 kup zanim ceny wzrosną!,Śródmieście,3,292 806,44.91,6 520,https://www.otodom.pl/pl/oferta/trzy-pokoje-45m2-kup-zanim-ceny-wzrosna-ID45iae.html#ed7b2d23ec
Mieszkanie 51m2+balkon 45m2 dwie sypialnie!,Śródmieście,3,309 962,51.35,6 036,https://www.otodom.pl/oferta/mieszkanie-51m2-balkon-4-5m2-dwie-sypialnie-ID46IgN.html#ed7b2d23ec
Apartament 51m22-3 sypialnie! Dla studentów!,Śródmieście,3,309 962,51.35,6 036,https://www.otodom.pl/pl/oferta/apartament-51m2-2-3-sypialnie-dla-studentow-ID46shb.html#ed7b2d23ec
Mieszkanie w apartamentowcu 40.89m2+ balkon!,Śródmieście,2,258 095,40.89,6 312,https://www.otodom.pl/pl/oferta/mieszkanie-w-apartamentowcu-40-89m2-balkon-ID45N7X.html#ed7b2d23ec
Dwa 41m2 Promocja!,Śródmieście,2,258 095,40.89,6 312,https://www.otodom.pl/pl/oferta/dwa-pokoje-41m2-promocja-ID48JVr.html#ed7b2d23ec
Stylowe 2-pokojowe mieszkanie po remoncie - GÓRNA,Górna,2,315 000,50.50,6 238,https://www.otodom.pl/oferta/stylowe-2-pokojowe-mieszkanie-po-remoncie-gorna-ID494uf.html#48eb315436
Śliczne 2 pokojowe ul. Cieszyńska 18,Górna,2,302 000,42,7 190,https://www.otodom.pl/pl/oferta/sliczne-2-pokojowe-ul-cieszynska-18-ID48WHB.html#48eb315436
Komfortowe mieszkanie na Retkini,Polesie,3,319 360,52.97,6 029,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-na-retkini-ID48v4E.html#48eb315436
Wyprzedaż 3-pokojowych mieszkań. Wybierz najlepsze,Śródmieście,3,297 000,48.37,6 140,https://www.otodom.pl/oferta/wyprzedaz-3-pokojowych-mieszkan-wybierz-najlepsze-ID494Og.html#48eb315436
Pakiet mieszkań w promocyjnej cenie. Kup okazyjnie,Śródmieście,2,268 000,41.10,6 521,https://www.otodom.pl/oferta/pakiet-mieszkan-w-promocyjnej-cenie-kup-okazyjnie-ID494Oc.html#48eb315436
Świetne rozkładowe mieszkanie w bloku z cegły!,Polesie Stare Polesie,3,239 500,44.56,5 375,https://www.otodom.pl/oferta/swietne-rozkladowe-mieszkanie-w-bloku-z-cegly-ID48ZwI.html#48eb315436
Piękne i przytulne mieszkanie na sprzedaż,łódzkie,2,285 000,43,6 628,https://www.otodom.pl/pl/oferta/piekne-i-przytulne-mieszkanie-na-sprzedaz-ID494Jd.html#48eb315436
Przytulne M-3 z balkonem blisko basen i siłownia,Bałuty Teofilów,2,192 000,37.60,5 106,https://www.otodom.pl/oferta/przytulne-m-3-z-balkonem-blisko-basen-i-silownia-ID494FR.html#48eb315436
Rozkładowe Mieszkanie 47m2 - Łódź Górna,Górna,2,269 000,47.17,5 703,https://www.otodom.pl/pl/oferta/rozkladowe-mieszkanie-47m2-lodz-gorna-ID48QcZ.html#48eb315436
Umeblowane mieszkanie po częściowym remoncie,Bałuty Żabieniec,2,260 000,46,5 652,https://www.otodom.pl/pl/oferta/umeblowane-mieszkanie-po-czesciowym-remoncie-ID494DX.html#48eb315436
Po remoncie Manufakturabalkonwinda,Polesie,2,277 000,40,6 925,https://www.otodom.pl/oferta/po-remoncie-manufaktura-balkon-winda-ID48QbV.html#48eb315436
Nowoczesne przytulne mieszkanie na Teofilowie,Bałuty Teofilów,2,283 000,45.16,6 267,https://www.otodom.pl/oferta/nowoczesne-przytulne-mieszkanie-na-teofilowie-ID48CcC.html#48eb315436
REZERWACJA Sprzedam mieszkanie na Dąbrowie,Górna Dąbrowa,2,220 000,37.20,5 914,https://www.otodom.pl/oferta/rezerwacja-sprzedam-mieszkanie-na-dabrowie-ID48Q77.html#48eb315436
Ogłoszenie nieaktualne,Widzew,2,229 000,37.64,6 084,https://www.otodom.pl/pl/oferta/ogloszenie-nieaktualne-ID48N6w.html#48eb315436
Mieszkanie nowe dla rodziny. Pilnie sprzedam!,Polesie,2,283 267,47.29,5 990,https://www.otodom.pl/oferta/mieszkanie-nowe-dla-rodziny-pilnie-sprzedam-ID46AzZ.html#48eb315436
mieszkanie w standardzie Eko do remontu,Bałuty Teofilów,2,210 000,45,4 667,https://www.otodom.pl/pl/oferta/mieszkanie-w-standardzie-eko-do-remontu-ID472Qt.html#48eb315436
Mieszkanie dla pary,Bałuty,2,215 000,36,5 972,https://www.otodom.pl/oferta/mieszkanie-dla-pary-ID47MXt.html#48eb315436
M-3 4242m2 Retkinia Duży Balkon Pełny Rozkład,Polesie Retkinia,2,225 000,42.42,5 304,https://www.otodom.pl/pl/oferta/m-3-42-42m2-retkinia-duzy-balkon-pelny-rozklad-ID494y8.html#48eb315436
M-3 4242m2 Retkinia Południe Duży Balkon,Polesie Retkinia,2,225 000,42.42,5 304,https://www.otodom.pl/oferta/m-3-42-42m2-retkinia-poludnie-duzy-balkon-ID494xR.html#48eb315436
Piękne słoneczne z tarasem na oś. Majowym.,Widzew Zarzew,2,399 000,51.91,7 686,https://www.otodom.pl/pl/oferta/piekne-sloneczne-z-tarasem-na-os-majowym-ID47Goy.html#3819427372
Mieszkanie Bałuty Krawiecka inwestycyjne,Bałuty,2,270 000,51,5 294,https://www.otodom.pl/pl/oferta/mieszkanie-baluty-krawiecka-inwestycyjne-ID492nK.html#3819427372
PŁATNOŚĆ 10/90 Nowe apartamenty BAŁUTY/TEOFILÓW,Bałuty,3,309 392,50.27,6 155,https://www.otodom.pl/pl/oferta/platnosc-10-90-nowe-apartamenty-baluty-teofilow-ID48Jrq.html#3819427372
3 + Widna Kuchnia + Duży Balkon,Widzew,3,319 182,52,6 138,https://www.otodom.pl/oferta/3-pokoje-widna-kuchnia-duzy-balkon-ID494uZ.html#3819427372
3 obok C H Tulipan - Rabaty do - 10%,Widzew,3,316 390,50,6 328,https://www.otodom.pl/oferta/3-pokoje-obok-c-h-tulipan-rabaty-do-10-ID494uX.html#3819427372
2 blisko Szkoły Filmowej - *Rabaty do -10%*,Widzew,2,254 565,37,6 880,https://www.otodom.pl/pl/oferta/2-pokoje-blisko-szkoly-filmowej-rabaty-do-10-ID494uY.html#3819427372
Urokliwy Ogródek - Przestronne 3!,Widzew,3,313 800,51,6 153,https://www.otodom.pl/pl/oferta/urokliwy-ogrodek-przestronne-3-pokoje-ID494uV.html#3819427372
2 + Ogródek Hit! 5 min do Śródmieścia,Widzew,2,248 607,37,6 719,https://www.otodom.pl/oferta/2-pokoje-ogrodek-hit-5-min-do-srodmiescia-ID494uW.html#3819427372
Olechów/Janów apartamentowiec 2020 &quot;pod klucz&quot;,Widzew Janów,2,385 000,44.07,8 736,https://www.otodom.pl/oferta/olechow-janow-apartamentowiec-2020-pod-klucz-ID48lGR.html#3819427372
Stylowe 2-pokojowe mieszkanie po remoncie - GÓRNA,Górna,2,315 000,50.50,6 238,https://www.otodom.pl/pl/oferta/stylowe-2-pokojowe-mieszkanie-po-remoncie-gorna-ID494uf.html#3819427372
Mieszkanie w centrum-Dni otwarte 08.12 wtorek,Śródmieście,2,335 000,51,6 569,https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-dni-otwarte-08-12-wtorek-ID494tZ.html#3819427372
Dobrze zlokalizowane M4 na Dąbrowie - prywatnie,Górna Dąbrowa,3,267 000,45.10,5 920,https://www.otodom.pl/oferta/dobrze-zlokalizowane-m4-na-dabrowie-prywatnie-ID48n5U.html#3819427372
M3 z balkonem w spokojnej okolicy blisko centrum,Polesie Karolew,2,250 000,48,5 208,https://www.otodom.pl/oferta/m3-z-balkonem-w-spokojnej-okolicy-blisko-centrum-ID494mg.html#3819427372
2 - ul. Staszica po generalnym remoncie!,Bałuty,2,285 000,40,7 125,https://www.otodom.pl/oferta/2-pokoje-ul-staszica-po-generalnym-remoncie-ID48i0e.html#3819427372
Rozkładowe M3 45m2 Teofilów ul. Łanowa Balkon,Bałuty Teofilów,2,209 000,45,4 644,https://www.otodom.pl/pl/oferta/rozkladowe-m3-45m2-teofilow-ul-lanowa-balkon-ID492Jj.html#3819427372
Franciszkańska 139 - zielono cicho wygodnie,Bałuty,3,312 000,54.20,5 756,https://www.otodom.pl/pl/oferta/franciszkanska-139-zielono-cicho-wygodnie-ID46DbN.html#3819427372
M3 rozkładowe 45m2 Rojna Teofilów 2 pok. parter,Bałuty Teofilów,2,229 000,45,5 089,https://www.otodom.pl/pl/oferta/m3-rozkladowe-45m2-rojna-teofilow-2-pok-parter-ID484rZ.html#3819427372
Ostatnie mieszkania Centrum ul. Rewolucji 27 Łódź,Śródmieście,2,199 000,45.39,4 384,https://www.otodom.pl/oferta/ostatnie-mieszkania-centrum-ul-rewolucji-27-lodz-ID492CP.html#3819427372
Kawalerka z balkonem okno-drzwiami I piętro,Polesie,1,250 000,38,6 579,https://www.otodom.pl/oferta/kawalerka-z-balkonem-okno-drzwiami-i-pietro-ID494cn.html#3819427372
Funkcjonalne 2 pokojowe mieszkania- Obywatelska!,łódzkie,2,257 676,39.90,6 458,https://www.otodom.pl/oferta/funkcjonalne-2-pokojowe-mieszkania-obywatelska-ID476OV.html#3819427372
Nowe wygodne 3 pokojowe przy Obywatelskiej- HIT!,łódzkie,3,304 230,48.78,6 237,https://www.otodom.pl/oferta/nowe-wygodne-3-pokojowe-przy-obywatelskiej-hit-ID476O7.html#3819427372
Komfortowe 2 pokojowe mieszkanie-&gt;&gt;Obywatelska!!,łódzkie,2,255 711,39.53,6 469,https://www.otodom.pl/pl/oferta/komfortowe-2-pokojowe-mieszkanie-obywatelska-ID476PN.html#3819427372
Mieszkanie z dużym potencjałem - 4.200/m2 !!!,Bałuty,2,162 000,38.50,4 208,https://www.otodom.pl/oferta/mieszkanie-z-duzym-potencjalem-4-200-zl-m2-ID48Zu8.html#3a460ec8f9
Osiedle KOLUMNY nowa inwestycja! etap I budynek J,Górna,2,315 531,04,53.68,5 878,https://www.otodom.pl/oferta/osiedle-kolumny-nowa-inwestycja-etap-i-budynek-j-ID455hI.html#3a460ec8f9
Rozkładowe mieszkanie Łódź-Retkinia,Polesie Retkinia,3,299 000,53,5 642,https://www.otodom.pl/oferta/rozkladowe-mieszkanie-lodz-retkinia-ID48ctc.html#3a460ec8f9
Sprzedam 44m2 w nowym bloku,Bałuty,2,245 000,44,5 568,https://www.otodom.pl/oferta/sprzedam-44m2-w-nowym-bloku-ID48m53.html#3a460ec8f9
2 tuż przy Manufakturze,Bałuty,2,240 000,37.30,6 434,https://www.otodom.pl/oferta/2-pokoje-tuz-przy-manufakturze-ID4946P.html#3a460ec8f9
3 na Retkini I p. loggia,Polesie Retkinia,3,339 000,53,6 396,https://www.otodom.pl/pl/oferta/3-pokoje-na-retkini-i-p-loggia-ID4946O.html#3a460ec8f9
Dwa Pokoje w Centrum przy Politechnice Łódzkiej,Śródmieście,2,257 980,40.36,6 392,https://www.otodom.pl/oferta/dwa-pokoje-w-centrum-przy-politechnice-lodzkiej-ID4946p.html#3a460ec8f9
Trzy Pokoje w Centrum przy Politechnice Łódzkiej,Śródmieście,3,313 540,51.35,6 106,https://www.otodom.pl/oferta/trzy-pokoje-w-centrum-przy-politechnice-lodzkiej-ID4946l.html#3a460ec8f9
Trzy w Apartamentowcu Centrum-Widzew !!!,Śródmieście,3,305 760,51.61,5 924,https://www.otodom.pl/pl/oferta/trzy-pokoje-w-apartamentowcu-centrum-widzew-ID4945T.html#3a460ec8f9
Trzy Centrum-Widzew RABAT 49.000 !!!,Śródmieście,3,288 900,48.91,5 907,https://www.otodom.pl/pl/oferta/trzy-pokoje-centrum-widzew-rabat-49-000-ID4945P.html#3a460ec8f9
Mieszkanie 3949 Łódź,Śródmieście,1,225 000,39.49,5 698,https://www.otodom.pl/oferta/mieszkanie-39-49-m-lodz-ID48PSG.html#3a460ec8f9
Mieszkanie przy Uniwersyteckiej - Łódź,Śródmieście,2,298 000,47.80,6 234,https://www.otodom.pl/oferta/mieszkanie-przy-uniwersyteckiej-lodz-ID48Yhj.html#3a460ec8f9
Łódź julianów casa mia 435m2 2,Bałuty Julianów,2,450 000,43.50,10 345,https://www.otodom.pl/oferta/lodz-julianow-casa-mia-43-5m2-2-pokoje-ID4942r.html#3a460ec8f9
Sprzedam mieszkanie 2-pokojowe 10 piętro Bałuty,Bałuty,2,269 000,47,5 723,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-2-pokojowe-10-pietro-baluty-ID491Ya.html#3a460ec8f9
Mieszkanie 4853 Łódź,Polesie,2,254 000,48.53,5 234,https://www.otodom.pl/oferta/mieszkanie-48-53-m-lodz-ID48hHm.html#3a460ec8f9
Słoneczne mieszkanie 40m2 Łódź Górna Dąbrowa,Górna,2,210 000,39.66,5 295,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-40m2-lodz-gorna-dabrowa-ID48Tk0.html#3a460ec8f9
Mieszkanie inwestycyjne w centrum Łodzi 37 m2,Śródmieście,2,225 000,37.30,6 032,https://www.otodom.pl/oferta/mieszkanie-inwestycyjne-w-centrum-lodzi-37-m2-ID48hXJ.html#3a460ec8f9
2 pokrozkładbalkon2 piętroBałutyDołyMarysin!,Bałuty Doły,2,221 000,36.98,5 976,https://www.otodom.pl/pl/oferta/2-pok-rozklad-balkon-2-pietro-baluty-doly-marysin-ID493Pu.html#3a460ec8f9
mieszkanie 47 m Bałuty rozkładowe bezpośrednio,Bałuty,2,260 000,47,5 532,https://www.otodom.pl/pl/oferta/mieszkanie-47-m-baluty-rozkladowe-bezposrednio-ID48PFx.html#3a460ec8f9
Piękne 3 pokojowe 54 m2 Retkinia - Maratońska,Polesie Retkinia,3,377 000,54,6 981,https://www.otodom.pl/pl/oferta/piekne-3-pokojowe-54-m2-retkinia-maratonska-ID48PFT.html#3a460ec8f9
M4-Polesie-Retkinia,Polesie Retkinia,3,339 000,53,6 396,https://www.otodom.pl/pl/oferta/m4-polesie-retkinia-ID493Kq.html#3a460ec8f9
M3 Łódź-Widzew,Widzew,2,225 000,37,6 081,https://www.otodom.pl/pl/oferta/m3-lodz-widzew-ID493Iq.html#3a460ec8f9
Mieszkanie Dąbrowa ogrodzony blok REZERWACJA,Górna Dąbrowa,2,185 000,36.30,5 096,https://www.otodom.pl/pl/oferta/mieszkanie-dabrowa-ogrodzony-blok-rezerwacja-ID48Ofg.html#3a460ec8f9
Piękne i przytulne mieszkanie na sprzedaż,łódzkie,2,285 000,43,6 628,https://www.otodom.pl/pl/oferta/piekne-i-przytulne-mieszkanie-na-sprzedaz-ID494Jd.html#87fec1d439
PIEKNE 3 pok WYSOKI STANDARD swiezo po remoncie.,Górna Kurak,3,310 000,45.90,6 754,https://www.otodom.pl/oferta/piekne-3-pok-wysoki-standard-swiezo-po-remoncie-ID48NFY.html#87fec1d439
Sprzedam mieszkanie,Polesie Stare Polesie,2,240 000,43,5 581,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-ID44Pc5.html#87fec1d439
Słoneczne M3 z balkonem,Górna Dąbrowa,2,199 900,38,5 261,https://www.otodom.pl/pl/oferta/sloneczne-m3-z-balkonem-ID48d6Y.html#87fec1d439
Parterowe mieszkanie z balkonem!,Polesie Karolew,2,246 000,44,5 591,https://www.otodom.pl/pl/oferta/parterowe-mieszkanie-z-balkonem-ID4862P.html#87fec1d439
2 rozkładowe Teofilów,Bałuty,2,260 000,45,5 778,https://www.otodom.pl/pl/oferta/2-rozkladowe-pokoje-teofilow-ID493zg.html#87fec1d439
Super Rekinia Olimpijska 11,Polesie Retkinia,3,310 000,42.24,7 339,https://www.otodom.pl/pl/oferta/super-rekinia-olimpijska-11-ID48G6E.html#87fec1d439
Zarzew M4 48m2/balkon/winda do własnej aranżacji,Widzew Zarzew,3,249 000,48,5 188,https://www.otodom.pl/pl/oferta/zarzew-m4-48m2-balkon-winda-do-wlasnej-aranzacji-ID493wY.html#87fec1d439
Wyprzedaż 2020! 49m2+balkon 9m2!,Śródmieście,3,292 484,48.91,5 980,https://www.otodom.pl/oferta/wyprzedaz-2020-49m2-balkon-9m2-ID48cj7.html#87fec1d439
50m2 3pokojewyprzedaż do końca 2020!,Śródmieście,1,313 369,50.03,6 264,https://www.otodom.pl/oferta/50m2-3pokoje-wyprzedaz-do-konca-2020-ID48ke9.html#87fec1d439
49m2+balkon 9m2 trzy!,Śródmieście,3,292 484,48.91,5 980,https://www.otodom.pl/pl/oferta/49m2-balkon-9m2-trzy-pokoje-ID48JIw.html#87fec1d439
2 rozkładowe okolice Manufaktury,Bałuty,2,239 000,37.50,6 373,https://www.otodom.pl/oferta/2-rozkladowe-pokoje-okolice-manufaktury-ID493u9.html#87fec1d439
3 pokojowe w pięknej zielonej okolicy - Retkinia,Polesie Karolew,3,279 900,52.30,5 352,https://www.otodom.pl/oferta/3-pokojowe-w-pieknej-zielonej-okolicy-retkinia-ID491b6.html#87fec1d439
Przestronne mieszkanie na parterze.,Górna Dąbrowa,3,250 000,47,5 319,https://www.otodom.pl/oferta/przestronne-mieszkanie-na-parterze-ID493ro.html#87fec1d439
REZERWACJA 40mkw. 2pok.rozkladoweDąbrowa,Górna Dąbrowa,2,214 000,40,5 350,https://www.otodom.pl/oferta/rezerwacja-40mkw-2pok-rozkladowe-dabrowa-ID48XfY.html#87fec1d439
3674m2 2 - ul. Karla Dedeciusa 1,Widzew,2,170 000,36.74,4 627,https://www.otodom.pl/oferta/36-74m2-2-pokoje-ul-karla-dedeciusa-1-ID48YJl.html#87fec1d439
M3 Łódź Dąbrowa BEZPOŚREDNIO do negocjacji,Górna Dąbrowa,2,225 000,37,6 081,https://www.otodom.pl/pl/oferta/m3-lodz-dabrowa-bezposrednio-do-negocjacji-ID483AE.html#87fec1d439
M-4 Retkinia - LOGGIA,łódzkie,3,339 000,53,6 396,https://www.otodom.pl/pl/oferta/m-4-retkinia-loggia-ID493f1.html#87fec1d439
Loft w centrum ul. Gdańska 48m wysokości,Śródmieście,3,285 700,51.15,5 586,https://www.otodom.pl/pl/oferta/loft-w-centrum-ul-gdanska-4-8m-wysokosci-ID47XUE.html#87fec1d439
51m2 w Centrum Gdańska/Zielona 48m wysokości,Śródmieście,3,287 070,51.15,5 612,https://www.otodom.pl/oferta/51m2-w-centrum-gdanska-zielona-4-8m-wysokosci-ID48u1q.html#87fec1d439
PIEKNE 3 pok WYSOKI STANDARD swiezo po remoncie.,Górna Kurak,3,310 000,45.90,6 754,https://www.otodom.pl/pl/oferta/piekne-3-pok-wysoki-standard-swiezo-po-remoncie-ID48NFY.html#87fec1d439
Mieszkanie A2.M.03 Łódź Śródmieście4183m2,Śródmieście,1,286 536,41.83,6 850,https://www.otodom.pl/pl/oferta/mieszkanie-a2-m-03-lodz-srodmiescie-41-83m2-ID3FTnm.html#87fec1d439
Piękne i przytulne mieszkanie na sprzedaż,łódzkie,2,285 000,43,6 628,https://www.otodom.pl/oferta/piekne-i-przytulne-mieszkanie-na-sprzedaz-ID494Jd.html#f7e392bc96
mieszkanie 47 m Bałuty rozkładowe bezpośrednio,Bałuty,2,260 000,47,5 532,https://www.otodom.pl/pl/oferta/mieszkanie-47-m-baluty-rozkladowe-bezposrednio-ID48PFx.html#f7e392bc96
Mieszkanie A1.M.36 Łódź Śródmieście 4978m2,Śródmieście,1,343 482,49.78,6 900,https://www.otodom.pl/oferta/mieszkanie-a1-m-36-lodz-srodmiescie-49-78m2-ID3FHgM.html#f7e392bc96
Rozkładowe M4 w dobrym punkcie Łodzi,Górna,3,312 000,53,5 887,https://www.otodom.pl/oferta/rozkladowe-m4-w-dobrym-punkcie-lodzi-ID49306.html#f7e392bc96
